0172,國立中興大學,物理學系一般物理組,物x1.50 數甲x1.50 英x1.50 化x1.00 國x1.00,12,229.00,,-------,-------,-------,-------,-------
0173,國立中興大學,物理學系光電物理組,物x1.50 數甲x1.50 英x1.50 化x1.00 國x1.00,13,239.00,,-------,-------,-------,-------,-------
0174,國立中興大學,應用數學系應用數學組,數甲x2.00 英x1.50 物x1.50 國x1.00 化x1.00,21,229.50,數學甲 35,-------,-------,-------,-------,-------
0175,國立中興大學,應用數學系數據科學與計算組,數甲x2.00 英x1.50 物x1.50 國x1.00 化x1.00,16,232.00,數學甲 31,-------,-------,-------,-------,-------
0176,國立中興大學,機械工程學系,數甲x2.00 物x2.00 英x1.50 化x1.00 國x1.00,65,257.00,,259.60,-------,-------,-------,-------
0177,國立中興大學,土木工程學系,數Ax2.00 物x2.00 英x1.50 國x1.00 化x1.00,55,247.50,數學A 34,-------,-------,-------,-------,-------
0200,國立中興大學,環境工程學系,化x1.50 數甲x1.50 物x1.50 英x1.00 國x1.00,19,214.50,化學 31,-------,-------,-------,-------,-------
0201,國立中興大學,化學工程學系,數甲x1.00 化x1.00 英x1.00 物x1.00 國x1.00,42,194.00,數學甲 36,197.10,-------,-------,-------,-------
0202,國立中興大學,材料科學與工程學系,物x1.00 化x1.00 英x1.00 數甲x1.00 國x1.00,28,200.00,物理 34,209.25,-------,-------,-------,-------
0203,國立中興大學,智慧創意工程學士學位學程,數甲x1.50 英x1.00 物x1.00 國x1.00 化x1.00,4,213.00,,-------,-------,-------,-------,-------
0204,國立中興大學,資訊工程學系,數甲x1.00 物x1.00 英x1.50 國x1.00 化x1.00,15,237.00,數學甲 37,-------,-------,-------,-------,-------
0205,國立中興大學,電機工程學系甲組,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,3,228.00,數學甲 45,-------,-------,-------,-------,-------
0206,國立中興大學,電機工程學系乙組,數甲x1.00 物x1.00 英x1.25 化x1.00 國x1.00,33,228.00,,230.15,-------,-------,-------,-------
0207,國立中興大學,電機資訊學院學士班,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,11,213.00,數學甲 30,-------,-------,-------,-------,-------
0210,國立中興大學,水土保持學系,數甲x2.00 物x2.00 英x1.50 國x1.00,20,208.00,,-------,-------,-------,-------,-------
0211,國立中興大學,生物產業機電工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,34,171.00,數學甲 26,179.55,-------,-------,-------,-------
0212,國立中興大學,農藝學系,英x1.50 生x1.50 化x1.50 數Bx1.00 國x1.00,21,211.00,,-------,-------,-------,-------,-------
0213,國立中興大學,園藝學系,生x2.00 化x1.50 英x1.50 數Bx1.00 國x1.00,27,167.50,,-------,-------,-------,-------,-------
0214,國立中興大學,森林學系林學組,英x1.50 生x1.50 化x1.00 物x1.00 數Bx1.00,8,168.00,,-------,-------,-------,-------,-------
0215,國立中興大學,森林學系木材科學組,英x1.50 化x1.50 物x1.25 生x1.00 數Bx1.00,9,165.25,,-------,-------,-------,-------,-------
0216,國立中興大學,植物病理學系,生x1.50 化x1.50 英x1.50 國x1.00 數Ax1.00,21,220.50,,-------,-------,-------,-------,-------
0217,國立中興大學,昆蟲學系,生x1.50 化x1.50 英x1.50 數Ax1.00 國x1.00,22,211.00,,-------,-------,-------,-------,-------
0220,國立中興大學,動物科學系,生x1.50 化x1.50 英x1.50 數Ax1.00 國x1.00,20,243.50,,-------,-------,-------,-------,-------
0221,國立中興大學,土壤環境科學系,英x2.00 化x2.00 生x2.00 數甲x1.00 物x1.00,19,230.00,,-------,-------,-------,-------,-------
0222,國立中興大學,食品暨應用生物科技學系,英x1.50 化x1.50 生x1.50 數Ax1.00 國x1.00,17,226.00,英文 30,-------,-------,-------,-------,-------
0223,國立中興大學,生物科技學士學位學程,英x1.50 化x1.50 生x1.50 國x1.00 物x1.00,13,241.00,,-------,-------,-------,-------,-------
0224,國立中興大學,景觀與遊憩學士學位學程,英x1.50 國x1.00 數甲x1.50 物x1.00 數Ax1.00,6,192.00,,-------,-------,-------,-------,-------
0225,國立中興大學,國際農企業學士學位學程,英x2.00 數甲x1.00 生x1.00 國x1.00,5,162.00,,-------,-------,-------,-------,-------
0226,國立中興大學,生命科學系,生x1.75 化x1.75 英x1.00 自x1.00,20,219.00,,-------,-------,-------,-------,-------
0227,國立中興大學,獸醫學系,英x1.50 化x1.50 生x1.50 數甲x1.00 國x1.00,39,317.00,,-------,324.60,-------,-------,-------
0230,國立成功大學,中國文學系,國x1.50 英x1.00 歷x1.00,41,158.50,,-------,-------,-------,-------,-------
0231,國立成功大學,外國語文學系,英x2.00 國x1.50 歷x1.00 地x1.00,33,264.00,,-------,-------,-------,-------,-------
0232,國立成功大學,歷史學系,歷x1.50 國x1.25 英x1.25 地x1.00,35,230.00,,-------,-------,-------,-------,-------
0233,國立成功大學,台灣文學系,國x1.50 英x1.50 歷x1.00 數Bx1.00 地x1.00,23,255.00,,-------,-------,-------,-------,-------
0234,國立成功大學,數學系,數甲x2.00 物x1.50 英x1.50,30,191.00,,-------,-------,-------,-------,-------
0235,國立成功大學,物理學系,物x1.50 數甲x1.50 數Ax1.50 英x1.00 化x1.00,24,255.00,物理 39,-------,-------,-------,-------,-------
